date,RF,MKT,SMB,HML
1995-01-31,0.003463670049935308,-0.12634327110877697,0.0014457062013977229,0.05988839801145718
1995-02-28,0.003098508966037361,-0.018806321881972843,0.011970097424382042,0.03673672958561769
1995-03-31,0.004194391058314206,0.1553869034691051,-0.03245267119704298,-0.22226801333224833
1995-04-30,0.0036463004378843866,-0.101286894848854,-0.009784815770568,0.05282587133951555
1995-05-31,0.0040116609360238975,0.18123007604085384,0.05488890115706835,-0.11316355109836906
1995-06-30,0.0040116609360236755,-0.09193911034044822,0.06418792896890246,0.08560256431701418
1995-07-31,0.003828964064564344,0.07261758406812491,0.004038725021875633,0.08961879811423867
1995-08-31,0.004194391058313984,0.045716524913919976,-0.028000155689771322,0.13135347612376258
1995-09-30,0.003828964064564344,-0.002210065142488671,-0.015927110093036156,0.06477092934101836
1995-10-31,0.0036463004378848307,0.0048189967648031296,0.013278542233730706,0.026577395742505838
1995-11-30,0.0040116609360238975,-0.07886379200911531,0.04535782651059572,0.029714662913148615
1995-12-31,0.003828964064564344,-0.11742104339172232,0.01023136494870236,0.029088933750583412
1996-01-31,0.0040116609360238975,-0.03991489013600413,0.0007246835648098138,0.05105205763305243
1996-02-29,0.002186187510827109,0.03143340348916879,-0.011015058631468344,-0.005751912240902213
1996-03-31,0.0036463004378843866,0.0023235490721569274,-0.018027367749515966,-0.012177238654908606
1996-04-30,0.0040116609360241196,0.29526376701727863,0.18795540408659916,0.22955512985352144
1996-05-31,0.00293008978434961,-0.02895022110643941,-0.08720174213256682,0.11758621472607289
1996-06-30,0.002663363593521595,0.25328493693553256,-0.2512797314016282,-0.10425424077261836
1996-07-31,0.003063479486291154,0.11762661084275461,0.22093941752691637,0.39441241117063885
1996-08-31,0.0026774115404468724,-0.0040238255911292375,-0.06433284950100904,0.0352061454967898
1996-09-30,0.001821574249404767,0.057827171509935216,-0.035062493338487766,0.003062486348048621
1996-10-31,0.0019127400126612848,0.2164796236397768,0.19842394018087206,0.2896800812029483
1996-11-30,0.0019127400126615068,0.0661452424967941,0.07111806631136108,0.024658740918384714
1996-12-31,0.0020039140720027326,-0.17998293086239847,-0.030363965746637023,-0.028552958662531935
1997-01-31,0.0020039140720027326,0.07554299926194363,0.043717659694866295,0.02282208191918733
1997-02-28,0.0009103727354431435,0.06809057632274573,0.11220473306284462,0.09901238303954973
1997-03-31,0.0019127400126615068,0.1858014722869863,0.0805699710716774,-0.10864972489356273
1997-04-30,0.0020039140720027326,0.10688665713512746,-0.041846393428508044,-0.22904153887384182
1997-05-31,0.001821574249404323,-0.07457623061759744,-0.04903095815771241,-0.046374944450197075
1997-06-30,0.001821574249404545,-0.0016577086915221528,-0.03767088971816335,-0.1730739042265499
1997-07-31,0.0020039140720025106,-0.0687516171722724,0.09256865129860437,0.11893722409737661
1997-08-31,0.0019127400126606187,0.006887472800674255,0.10067592298334116,0.24250055771535584
1997-09-30,0.0020039140720027326,-0.11516348912928975,0.034736303561518356,-0.03497830745490271
1997-10-31,0.0017374319232907887,0.12087183757917441,-0.022211369646051082,-0.10375028244998119
1997-11-30,0.0015811863522519065,-0.0453626500159342,0.04204165718031505,-0.012147627213591194
